uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,groupID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,volumePercent,livePercent,deadPercent,canopyArea,meanHeight,remarks,measuredBy,recordedBy,dataQF,publicationDate
e8202486-7b62-4c47-a390-06c59caa8c6d,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,BETH,Berberis thunbergii DC.,species,,,93,95,5,9.2,1.66,"",dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20200817T125555Z
5048d9bf-73a7-488e-a6d1-42e16bcf61c2,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,ILEX,Ilex sp.,genus,,,3,100,0,9.2,1.66,"",dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20200817T125555Z
4b7b0ca2-fbac-4d8d-88a8-045947d47e86,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,41,4,41 _0,BETH,Berberis thunbergii DC.,species,,,100,50,50,3.8,1.5,Entered 99.9 for %volumeOfGroup because a value of 100 was not acceptable.,dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20200817T125555Z
17dd2320-d0b3-4e5d-b7f2-c51c49f43f65,HARV_023.basePlot.vst,2015-09-24,vst_HARV_2015,D01,HARV,HARV_023,31,1,31 _0,PIST,Pinus strobus L.,species,,,4,100,0,9.2,1.66,"",dcrandall@neoninc.org,dcrandall@neoninc.org,legacyData,20200817T125555Z
59366ceb-cd19-4567-b65a-7b7357734113,HARV_023.basePlot.vst,2019-09-12,vst_HARV_2019,D01,HARV,HARV_023,31,1,31_01,BETH,Berberis thunbergii DC.,species,"Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,100,100,0,5,1.76,,0000-0002-1884-3191,0000-0003-1933-3182,,20200817T130701Z
c9eec85d-342e-4682-81e0-2efca17cf65d,HARV_023.basePlot.vst,2019-09-18,vst_HARV_2019,D01,HARV,HARV_023,41,4,41_01,BETH,Berberis thunbergii DC.,species,"Haines, A. 2011. Flora Novae Angliae: a manual for the identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven, Connecticut, USA.",,100,100,0,5,1.34,,0000-0002-1884-3191,0000-0001-6846-5179,,20200817T130701Z
e23684e9-8f8b-4a41-96fe-c382331a86fd,BLAN_005.basePlot.vst,2019-10-02,vst_BLAN_2019,D02,BLAN,BLAN_005,41,1,41_01,ROMU,Rosa multiflora Thunb.,species,,,100,95,5,15,1.92,,0000-0001-8122-5196,0000-0001-7914-5891,,20200831T140057Z
fabfa0e2-1794-47b9-91c9-77d71d69c5d7,BLAN_005.basePlot.vst,2019-10-02,vst_BLAN_2019,D02,BLAN,BLAN_005,31,4,31_02,ROMU,Rosa multiflora Thunb.,species,,,100,95,5,11,1.9,,0000-0001-7914-5891,0000-0003-2136-9037,,20200831T140057Z
97d88d44-0af8-4f88-82ec-20b07a0b3fb8,SCBI_051.basePlot.vst,2016-10-12,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_01,BETH,Berberis thunbergii DC.,species,,,98,100,0,4.1,1.5,,gchapman@neoninc.org,tspindler@field-ops.org,,20200817T125357Z
8ecdbbe3-94eb-416a-abb0-aeed33fb8bfc,SCBI_051.basePlot.vst,2016-10-12,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_01,LIBE3,Lindera benzoin (L.) Blume,species,,,2,100,0,4.1,1.5,,gchapman@neoninc.org,tspindler@field-ops.org,,20200817T125357Z
ff5681bf-fcb3-439f-96be-977fd09c285d,SCBI_051.basePlot.vst,2016-10-12,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_02,LIBE3,Lindera benzoin (L.) Blume,species,,,11,100,0,2.9,1.48,,gchapman@neoninc.org,tspindler@field-ops.org,,20200817T125357Z
568fe51b-7a32-4f40-a24a-19f4e4c32be3,SCBI_051.basePlot.vst,2016-10-12,vst_SCBI_2016,D02,SCBI,SCBI_051,39,1,39_02,ROMU,Rosa multiflora Thunb.,species,,,89,100,0,2.9,1.48,,gchapman@neoninc.org,tspindler@field-ops.org,,20200817T125357Z
a13c7ca4-f58d-4bc3-93dc-bffba9326192,SCBI_051.basePlot.vst,2017-11-02,vst_SCBI_2017,D02,SCBI,SCBI_051,39,1,39_02,ROMU,Rosa multiflora Thunb.,species,,,93,100,0,5.3,1.7,Some ROMU may not be in nested subplot or may not qualify at ddh,gchapman@neoninc.org,jporta@BattelleEcology.org,,20200817T125538Z
